Comment,Designator,Footprint,LCSC
,"BT1",FP_BT1,
,"U3",FP_C141836,C141836
,"Q1,Q3",FP_C15127,C15127
,"Q2",FP_C20917,C20917
,"USBC1",FP_C2765186,C2765186
,"U4",FP_C356849,C356849
,"D1",FP_C375569,C375569
,"U2",FP_C382138,C382138
,"U1",FP_C42431867,C42431867
,"U5,U6",FP_C558442,C558442
,"SW1",FP_C720477,C720477
,"D2",FP_C8598,C8598
,"DS1",FP_DS1,
,"TP1",FP_TP1,
,"TP2",FP_TP2,
,"TP3",FP_TP3,
,"TP4",FP_TP4,
,"TP5",FP_TP5,
100k,"R10,R9",FP_C25741,C25741
100nF,"C1,C10,C2,C4",FP_C1525,C1525
10uF,"C3,C6",FP_C19702,C19702
1k,"R6",FP_C11702,C11702
1uF,"C5,C7",FP_C52923,C52923
2.2uH,"L1",FP_C36402,C36402
200k,"R11",FP_C25764,C25764
20k,"R5",FP_C25765,C25765
4.7k,"R7,R8",FP_C25900,C25900
4.7uF,"C8,C9",FP_C23733,C23733
470,"R3,R4",FP_C25117,C25117
47k,"R12",FP_C25792,C25792
5.1k,"R1,R2",FP_C25905,C25905
