Designator,Mid X,Mid Y,Layer,Rotation
BT1,17.200mm,10.500mm,Top,0
C1,8.800mm,50.500mm,Top,0
C10,19.800mm,42.200mm,Top,0
C2,15.200mm,50.500mm,Top,0
C3,21.900mm,16.000mm,Top,0
C4,21.500mm,36.000mm,Top,0
C5,21.500mm,32.000mm,Top,0
C6,13.800mm,19.500mm,Top,0
C7,12.000mm,22.000mm,Top,0
C8,2.000mm,18.500mm,Top,0
C9,2.800mm,23.000mm,Top,0
D1,3.500mm,44.000mm,Top,0
D2,6.000mm,19.200mm,Top,0
DS1,12.000mm,44.000mm,Top,0
L1,21.400mm,19.450mm,Top,180
Q1,18.000mm,23.000mm,Top,0
Q2,3.800mm,15.400mm,Top,0
Q3,11.700mm,11.000mm,Top,0
R1,20.000mm,14.500mm,Top,0
R10,7.500mm,15.400mm,Top,0
R11,13.200mm,17.200mm,Top,0
R12,17.000mm,15.800mm,Top,0
R2,18.000mm,14.500mm,Top,0
R3,10.000mm,14.500mm,Top,0
R4,14.000mm,14.500mm,Top,0
R5,6.000mm,14.500mm,Top,90
R6,1.200mm,14.000mm,Top,0
R7,9.400mm,48.500mm,Top,0
R8,14.600mm,48.500mm,Top,0
R9,22.000mm,22.000mm,Top,0
SW1,20.500mm,44.000mm,Top,0
TP1,3.110mm,8.400mm,Top,0
TP2,5.650mm,8.400mm,Top,0
TP3,8.190mm,8.400mm,Top,0
TP4,10.730mm,8.400mm,Top,0
TP5,13.270mm,8.400mm,Top,0
U1,12.000mm,51.000mm,Top,0
U2,6.000mm,23.000mm,Top,0
U3,17.200mm,18.500mm,Top,0
U4,12.300mm,33.800mm,Top,270
U5,7.000mm,11.100mm,Top,0
U6,22.100mm,10.000mm,Top,90
USBC1,12.000mm,4.500mm,Top,0
