Designator,Mid X,Mid Y,Layer,Rotation
CZ1cp,99.000,30.550,Top,0
CZ1v,87.000,30.550,Top,0
CZ2cp,127.000,30.550,Top,0
CZ2v,115.000,30.550,Top,0
CZ3cp,71.000,30.550,Top,0
CZ3v,59.000,30.550,Top,0
C_BULK,27.000,13.000,Top,0
JZ1,93.000,13.550,Top,0
JZ2,121.000,13.550,Top,0
JZ3,65.000,13.550,Top,0
PICO,27.000,45.000,Top,0
RZ1a,87.000,20.550,Top,0
RZ1b,99.000,20.550,Top,0
RZ2a,115.000,20.550,Top,0
RZ2b,127.000,20.550,Top,0
RZ3a,59.000,20.550,Top,0
RZ3b,71.000,20.550,Top,0
Z1,93.000,25.550,Top,0
Z2,121.000,25.550,Top,0
Z3,65.000,25.550,Top,0
